seed,pv_kw,battery_kwh,hours,load_kwh,pv_kwh,grid_import_kwh,grid_peak_kw,export_kwh,curtailed_kwh,fuel_liters,unserved_critical_kwh,shed_noncritical_kwh,outage_critical_served_fraction,energy_cost,demand_cost,export_credit,fuel_cost,operating_cost,co2_kg,initial_stored_kwh,final_stored_kwh,battery_loss_kwh,max_balance_error_kw
42,25,0,168,3717.7592444602515,1016.848461105332,2780.5582142452927,45.20524874778851,79.64743089037319,0.0,0.0,0.0,0.0,,505.910895430259,361.6419899823081,3.1858972356149273,0.0,864.3669881769522,1056.6121214132113,0.0,0.0,0.0,3.552713678800501e-15
42,25,50,168,3717.7592444602515,1016.848461105332,2708.676407866731,45.20524874778851,0.0,0.0,0.0,0.0,0.0,,485.0651715804761,361.6419899823081,0.0,0.0,846.7071615627842,1029.2970349893578,10.0,10.0,7.765624511811385,3.552713678800501e-15
42,25,100,168,3717.7592444602515,1016.848461105332,2708.676407866731,45.20524874778851,0.0,0.0,0.0,0.0,0.0,,485.0651715804761,361.6419899823081,0.0,0.0,846.7071615627842,1029.2970349893578,20.0,20.0,7.765624511811385,3.552713678800501e-15
42,25,150,168,3717.7592444602515,1016.848461105332,2708.676407866731,45.20524874778851,0.0,0.0,0.0,0.0,0.0,,485.0651715804761,361.6419899823081,0.0,0.0,846.7071615627842,1029.2970349893578,30.0,30.0,7.765624511811385,3.552713678800501e-15
42,55,0,168,3717.7592444602515,2237.0666144317306,2417.567893887104,45.20524874778851,642.3665713506081,294.5086925079751,0.0,0.0,0.0,,445.7818807504097,361.6419899823081,25.694662854024322,0.0,781.7292078786935,918.6757996770996,0.0,0.0,0.0,3.552713678800501e-15
42,55,50,168,3717.7592444602515,2237.0666144317306,2151.567893887104,45.20524874778851,410.55808005703557,231.58034169628442,0.0,0.0,0.0,,368.6418807504097,361.6419899823081,16.422323202281422,0.0,713.8615475304364,817.5957996770996,10.0,10.0,28.736842105263158,7.105427357601002e-15
42,55,100,168,3717.7592444602515,2237.0666144317306,1900.8913405000376,40.352636713778345,233.3693163917157,131.0111514701179,0.0,0.0,0.0,,295.9456802681605,322.82109371022676,9.334772655668628,0.0,609.4320013227186,722.3387093900143,20.0,20.0,55.818242609683075,7.105427357601002e-15
42,55,150,168,3717.7592444602515,2237.0666144317306,1750.5988766862984,40.15273016966493,134.77053103579962,50.714877956076634,0.0,0.0,0.0,,252.360865762176,321.2218413573194,5.390821241431985,0.0,568.1918858780633,665.2275731407934,30.0,41.74771243831249,72.67312522758829,7.105427357601002e-15
42,85,0,168,3717.7592444602515,3457.284767758129,2289.402660578672,45.20524874778851,848.6977025484982,1180.2304813280514,0.0,0.0,0.0,,420.58359345735545,361.6419899823081,33.94790810193993,0.0,748.2776753377236,869.9730110198955,0.0,0.0,0.0,0.0
42,85,50,168,3717.7592444602515,3457.284767758129,2023.4026605786723,45.20524874778851,681.7988719098092,1052.3924698614771,0.0,0.0,0.0,,343.4435934573554,361.6419899823081,27.27195487639237,0.0,677.8136285632711,768.8930110198955,10.0,10.0,28.736842105263154,7.105427357601002e-15
42,85,100,168,3717.7592444602515,3457.284767758129,1757.402660578672,38.01659191105787,604.6379933938861,834.8165062721372,0.0,0.0,0.0,,266.3035934573555,304.132735288463,24.18551973575544,0.0,546.250809010063,667.8130110198954,20.0,20.0,57.473684210526315,7.105427357601002e-15
42,85,150,168,3717.7592444602515,3457.284767758129,1583.0012877305458,35.06416522501726,581.8656154419725,643.4064678218492,0.0,0.0,0.0,,215.72719533139878,280.5133218001381,23.274624617678903,0.0,472.96589251385797,601.5404893376074,30.0,49.89290311037955,77.361824654222,7.105427357601002e-15
43,25,0,168,3706.7145448628335,918.3922881040612,2830.508050676513,42.94352861724396,42.1857939177404,0.0,0.0,0.0,0.0,,510.82558503108356,343.5482289379517,1.687431756709616,0.0,852.6863822123256,1075.5930592570749,0.0,0.0,0.0,0.0
43,25,50,168,3706.7145448628335,918.3922881040612,2792.4353716657524,42.94352861724396,0.0,0.0,0.0,0.0,0.0,,499.78450811796296,343.5482289379517,0.0,0.0,843.3327370559147,1061.1254412329858,10.0,10.0,4.113114906979687,0.0
43,25,100,168,3706.7145448628335,918.3922881040612,2792.435371665752,42.94352861724396,0.0,0.0,0.0,0.0,0.0,,499.78450811796296,343.5482289379517,0.0,0.0,843.3327370559147,1061.1254412329858,20.0,20.0,4.113114906979687,0.0
43,25,150,168,3706.7145448628335,918.3922881040612,2792.435371665752,42.94352861724396,0.0,0.0,0.0,0.0,0.0,,499.78450811796296,343.5482289379517,0.0,0.0,843.3327370559147,1061.1254412329858,30.0,30.0,4.113114906979688,0.0
43,55,0,168,3706.7145448628335,2020.4630338289348,2428.9597395562664,42.94352861724396,574.3956033242757,168.31262519809184,0.0,0.0,0.0,,447.63522488471574,343.5482289379517,22.97582413297103,0.0,768.2076296896963,923.0047010313813,0.0,0.0,0.0,3.552713678800501e-15
43,55,50,168,3706.7145448628335,2020.4630338289348,2162.9597395562664,42.94352861724396,327.20510447918696,120.76628193791743,0.0,0.0,0.0,,370.49522488471587,343.5482289379517,13.088204179167478,0.0,700.9552496435,821.9247010313812,10.0,10.0,28.736842105263154,7.105427357601002e-15
43,55,100,168,3706.7145448628335,2020.4630338289348,1932.0043543116751,41.587764641796944,130.90050502710264,61.164637351673626,0.0,0.0,0.0,,303.51816316378444,332.70211713437556,5.236020201084106,0.0,630.9842600970759,734.1616546384365,20.0,20.0,53.68770089900014,7.105427357601002e-15
43,55,150,168,3706.7145448628335,2020.4630338289348,1834.657228473115,40.91488808577657,61.142515458009846,23.05877557610164,0.0,0.0,0.0,,275.287496670602,327.31910468621254,2.445700618320394,0.0,600.1609007384941,697.1697468197838,30.0,30.0,64.20442640510495,7.105427357601002e-15
43,85,0,168,3706.7145448628335,3122.533779553808,2290.3356029299894,42.94352861724396,809.69220241264,896.4626352083242,0.0,0.0,0.0,,421.62747888639973,343.5482289379517,32.3876880965056,0.0,732.7880197278458,870.3275291133959,0.0,0.0,0.0,0.0
43,85,50,168,3706.7145448628335,3122.533779553808,2024.3356029299894,42.94352861724396,635.5690460660696,775.8489494496314,0.0,0.0,0.0,,344.48747888639974,343.5482289379517,25.422761842642785,0.0,662.6129459817087,769.247529113396,10.0,10.0,28.736842105263158,7.105427357601002e-15
43,85,100,168,3706.7145448628335,3122.533779553808,1758.3356029299894,39.531996430578864,546.6695629588521,570.0115904515856,0.0,0.0,0.0,,267.3474788863997,316.2559714446309,21.866782518354086,0.0,561.7366678126766,668.167529113396,20.0,20.0,57.473684210526315,7.105427357601002e-15
43,85,150,168,3706.7145448628335,3122.533779553808,1571.366446664416,37.12927766559778,505.8609470526694,392.14548890438135,0.0,0.0,0.0,,213.12642356938335,297.03422132478227,20.23443788210678,0.0,489.92620701205885,597.119249732478,30.0,40.931343406429804,78.24790199191006,7.105427357601002e-15
